,parent,left_child,right_child,distance,size
367,6165,6032.0,4429.0,7.562589205666655,5.0
368,6166,4269.0,4740.0,7.566366276225581,2.0
369,6167,6160.0,6149.0,7.568914547273272,9.0
370,6168,6073.0,6063.0,7.570369274444992,4.0
371,6169,4464.0,5677.0,7.574264096029243,2.0
372,6170,5178.0,5537.0,7.576814107970609,2.0
373,6171,4442.0,5632.0,7.57717513539528,2.0
374,6172,5942.0,5899.0,7.5772230315318945,4.0
375,6173,6131.0,3650.0,7.578348192405237,3.0
376,6174,4559.0,5275.0,7.585144982498262,2.0
377,6175,144.0,267.0,7.5861545441418325,2.0
378,6176,5099.0,4648.0,7.58886648851371,2.0
379,6177,6005.0,4550.0,7.591303549731333,4.0
380,6178,4586.0,4267.0,7.591652744598352,2.0
381,6179,5727.0,4896.0,7.594124197195013,2.0
382,6180,4749.0,5074.0,7.595536575384417,2.0
383,6181,4225.0,5561.0,7.596409035086187,2.0
384,6182,5952.0,579.0,7.59667198917231,3.0
385,6183,4985.0,4767.0,7.599012253114596,2.0
386,6184,5081.0,4539.0,7.600542040177957,2.0
387,6185,6052.0,2363.0,7.609174392525155,6.0
388,6186,3957.0,5206.0,7.610644655955006,2.0
389,6187,5700.0,5979.0,7.613278500284801,3.0
390,6188,5595.0,6058.0,7.61479107660576,3.0
391,6189,4713.0,3920.0,7.615099536257315,2.0
392,6190,4335.0,4036.0,7.6169070826567244,2.0
393,6191,5171.0,3940.0,7.6206330997343885,2.0
394,6192,4641.0,4042.0,7.622361504942601,2.0
395,6193,4413.0,4664.0,7.62795556202993,2.0
396,6194,5916.0,6182.0,7.63376597568613,5.0
397,6195,4456.0,5408.0,7.637268993135346,2.0
398,6196,4371.0,3983.0,7.644488581227967,2.0
399,6197,6167.0,6110.0,7.644584867073605,11.0
400,6198,82.0,143.0,7.6446827951878795,2.0
401,6199,4771.0,4439.0,7.6447037283982775,2.0
402,6200,4613.0,4799.0,7.654023061391101,2.0
403,6201,4632.0,5481.0,7.655262019671553,2.0
404,6202,582.0,5801.0,7.65917010796528,3.0
405,6203,2254.0,3191.0,7.6616456136079885,2.0
406,6204,6102.0,6107.0,7.667570337186762,6.0
407,6205,5871.0,6183.0,7.6733158531119585,4.0
408,6206,4913.0,4159.0,7.673605061566786,2.0
409,6207,6177.0,5951.0,7.676325181731727,8.0
410,6208,5710.0,4384.0,7.676598906672661,2.0
411,6209,6057.0,5974.0,7.677489459802739,4.0
412,6210,2031.0,3205.0,7.681280013833146,2.0
413,6211,6187.0,4266.0,7.682970403917223,4.0
414,6212,6127.0,4378.0,7.684607807619566,21.0
415,6213,5645.0,6106.0,7.685986654540965,3.0
416,6214,5740.0,6134.0,7.686988070104838,6.0
417,6215,3993.0,5618.0,7.6874847585238095,2.0
418,6216,667.0,67.0,7.688886643312189,2.0
419,6217,1342.0,1143.0,7.700834839015285,2.0
420,6218,6130.0,6126.0,7.701025719988315,10.0
421,6219,6066.0,4997.0,7.704288008707281,3.0
